ID,Title,Beginning Date,Culture,Country,Medium,Classificatiion
241951,Limestone inscribed block,-3900,Cypriot,,Stone (limestone),Cesnola Inscriptions
329081,"Proto-Cuneiform tablet with seal impressions: administrative account of barley distribution with cylinder seal impression of a male figure, hunting dogs, and boars",-3100,Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
327384,Cuneiform tablet: administrative account concerning the distribution of barley and emmer,-3100,Sumerian,,Clay,Clay-Tablets-Inscribed
327385,Cuneiform tablet: administrative account with entries concerning malt and barley groats,-3100,Sumerian,,Clay,Clay-Tablets-Inscribed
325504,Cuneiform tablet: genre uncertain,-2600,Sumerian,,Clay,Clay-Tablets-Inscribed
325501,Cuneiform tablet: fragment of an account,-2600,Sumerian,,Clay,Clay-Tablets-Inscribed
325503,Cuneiform tablet: fragment of an account,-2600,Sumerian,,Clay,Clay-Tablets-Inscribed
325502,Cuneiform tablet: fragment concerning canals (Sum.e),-2600,Sumerian,,Clay,Clay-Tablets-Inscribed
325500,Cuneiform tablet: distribution of copper knives,-2600,,,Clay,Clay-Tablets-Inscribed
322910,Necklace beads,-2600,Sumerian,,"Gold, lapis lazuli",Metalwork-Ornaments
324880,Inlay: seated male with cup and palm frond,-2600,Sumerian,,Shell,Shell-Ornaments
551091,False door niche block of Merykhufu,-2551,,Egypt,Limestone,
543890,Relief fragment with king Khufu's cattle,-2551,,Egypt,Limestone,
543883,Relief with running troops,-2465,,Egypt,"Limestone, paint",
543882,King Sahure and a Nome God,-2458,,Egypt,Gneiss,
543936,Palm Column of Sahure,-2458,,Egypt,Granite,
590874,Tomb Chapel of Raemkai,-2446,,Egypt,"Limestone, paint",
577370,Tomb Chapel of Raemkai: False Door on West Wall,-2446,,Egypt,"Limestone, paint",
577372,Tomb Chapel of Raemkai: South Wall,-2446,,Egypt,"Limestone, paint",
543900,Nikare as a scribe,-2420,,Egypt,"Granite, paint",
321721,"Cuneiform tablet: account text concerning bitumen, Quradum archive",-2350,Akkadian,,Clay,Clay-Tablets-Inscribed
321782,"Cuneiform tablet: house sale contract, Quradum archive",-2350,Akkadian,,Clay,Clay-Tablets-Inscribed
543897,Sistrum Inscribed with the Names of King Teti,-2323,,,"Travertine (Egyptian alabaster), pigment, resin",
572011,Cylinder Seal with the Name of Pepi I,-2289,,Egypt,"Turquoise, stain",
329090,Cylinder seal and modern impression: hunting scene,-2250,Akkadian,,Chert,Stone-Cylinder Seals-Inscribed
543863,False Door of the Royal Sealer Neferiu,-2150,,,"Limestone, paint",
324915,Inscribed brick,-2112,Neo-Sumerian,,"Ceramic, glaze",Ceramics-Architectural-Inscribed
324589,Cuneiform tablet: receipt of metals,-2112,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
325091,Cuneiform tablet: list of items for the throne of Gunura,-2112,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
327068,Cuneiform tablet: messenger tablet,-2112,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
